,word1,word2,freq
272,연무,진행,7315
273,본질,연무,7315
274,연무,질의,7315
275,밀폐,점화,7269
276,연무,정적,7248
277,대전,연무,7248
278,고압,연무,7209
279,가공,연무,7202
280,이동,점화,7172
281,방출,점화,7150
282,가스,점화,7128
283,화염,화재,7094
284,점화,접촉,7039
285,연소,점화,6982
286,공기,형성,6881
287,증기,형성,6841
288,증기,화재,6839
289,공기,화재,6839
290,이상,폭발,6727
291,인화,점화,6721
292,가열,화재,6644
293,미립,연무,6612
294,분말,연무,6604
295,수송,점화,6521
296,공장,점화,6464
297,고체,점화,6458
298,설비,점화,6449
299,성질,연무,6440
300,용기,화재,6433
301,불꽃,점화,6404
302,점화,피해,6377
303,압력,점화,6322
304,형성,혼합물,6317
305,출시,폭발,6300
306,형성,화염,6281
307,연무,표면,6273
308,점화,초기,6268
309,구조,연무,6265
310,장소,점화,6248
311,손상,점화,6247
312,점화,통풍,6229
313,연무,영향,6182
314,점화,추가,6138
315,수분,연무,6130
316,공기,증기,6119
317,스파크,형성,6119
318,상승,점화,6116
319,샘플,연무,6101
320,점화,정전기,6077
321,가열,용기,6073
322,점화,폭발력,6071
323,기계,점화,6070
324,건물,점화,6066
325,점화,파괴,6065
326,연무,제조,6053
327,위력,점화,6052
328,마이크론,점화,6039
329,점화,충격파,6021
330,점화,차로,6016
331,난류,점화,6016
332,배기가스,점화,6016
333,방사,점화,6014
334,점화,축적,5993
335,점화,파우더,5993
336,장비,점화,5976
337,점화,처리,5955
338,결합,점화,5950
339,보호,점화,5946
340,점화,주요,5943
341,점화,접지,5942
342,기와,점화,5941
343,분쇄기,점화,5939
344,건조기,점화,5939
345,연쇄반응,점화,5935
346,발화,분진,5928
347,속도,점화,5888
348,점화,확산,5872
349,입자,점화,5868
350,혼합물,화재,5868
351,금속,폭발,5857
352,가동,점화,5852
353,점화,하의,5851
354,발행,연무,5804
355,점화,형태,5789
356,유기,점화,5777
357,파열,폭발,5738
358,이동,형성,5737
359,농도,점화,5719
360,폭발,하수,5706
361,불꽃,형성,5695
362,방출,화재,5685
363,밀폐,형성,5685
364,증기,화염,5675
365,작업,점화,5674
366,고온,점화,5671
367,점화,최소,5664
368,상한,점화,5656
369,위험성,화재,5593
370,적용,점화,5568
371,예측,점화,5562
372,방법,점화,5556
373,실용,점화,5538
374,원칙,점화,5538
375,연무,초과,5522
376,스파크,화재,5502
377,본질,점화,5484
378,점화,진행,5480
379,점화,정적,5479
380,점화,질의,5476
381,대전,점화,5469
382,가연성,방출,5454
383,미세,점화,5444
384,고압,점화,5443
385,부식,폭발,5436
386,가공,점화,5436
387,증기,혼합물,5396
388,실내,폭발,5390
389,가연성,화재,5381
390,연소,형성,5379
391,가스,형성,5372
392,이동,증기,5370
393,이동,화재,5318
394,가열,위험성,5297
395,공기,화염,5266
396,고체,형성,5259
397,설비,형성,5237
398,공장,형성,5237
399,압력,형성,5211
400,장소,형성,5207
401,통풍,형성,5205
402,피해,형성,5202
403,접촉,형성,5193
404,추가,형성,5148
405,분말,점화,5139
406,초기,형성,5134
407,상승,형성,5124
408,손상,형성,5122
409,미립,점화,5109
410,방출,형성,5108
411,가연성,형성,5108
412,폭발력,형성,5102
413,건물,형성,5102
414,공기,혼합물,5093
415,충격파,형성,5091
416,차로,형성,5086
417,축적,형성,5077
418,가스,화재,5062
419,기계,형성,5054
420,수송,형성,5050
421,파괴,형성,5046
422,위력,형성,5044
423,수소,폭발,5031
424,연쇄반응,형성,5027
425,마이크론,형성,5006
426,입자,형성,5002
427,형성,확산,4998
428,하의,형성,4993
429,팽창,폭발,4961
430,스파크,증기,4935
431,성질,점화,4931
432,점화,표면,4931
433,용기,위험성,4917
434,주요,형성,4915
435,인화,형성,4852
436,더스트,폭발,4839
437,구조,점화,4833
438,정전기,형성,4830
439,가열,증기,4823
440,난류,형성,4821
441,수분,점화,4821
442,방사,형성,4815
